userId;movieId;rating
468;2067;3,0
277;2028;5,0
232;2108;4,0
605;1665;3,0
496;20;4,0
295;318;4,5
344;632;5,0
400;500;3,0
452;1361;4,0
73;2324;3,5
119;2115;3,0
532;4975;2,5
605;2125;4,0
166;2302;4,0
119;587;4,0
472;1865;4,0
533;3766;3,0
34;1090;4,0
92;150;3,0
518;2613;4,0
564;505;3,0
480;6016;4,5
152;161;4,0
312;1544;3,0
165;4886;3,0
306;2312;4,0
564;11;3,0
111;2502;4,5
105;1089;4,0
102;1729;4,0
579;2082;0,5
580;2109;4,0
353;4011;4,0
262;60293;2,5
457;6615;1,5
588;590;4,0
313;8961;4,5
661;46578;5,0
294;2617;4,5
558;846;4,0
373;16;4,0
23;4641;4,0
555;539;2,0
257;318;4,0
433;30810;4,5
586;608;5,0
516;74;3,0
460;3396;4,0
214;1957;3,0
662;231;3,0
472;1265;4,0
596;4639;3,5
382;231;1,0
146;8961;4,5
654;1371;4,0
524;2662;3,5
624;37211;3,0
151;150;5,0
102;78;4,0
489;3114;5,0
270;2959;5,0
243;3489;4,5
605;912;5,0
543;1073;3,0
253;802;3,5
150;1374;2,5
414;4148;1,0
67;541;4,0
367;32029;3,0
219;1246;5,0
562;318;5,0
294;650;3,5
461;2959;5,0
654;2617;4,0
287;13;4,5
187;53318;4,5
243;3087;3,5
585;3104;4,0
367;4723;4,0
161;588;3,0
77;1580;3,5
27;2501;4,0
624;3489;3,0
187;141;4,0
30;597;4,0
429;5971;2,5
430;4641;4,0
23;750;4,5
535;595;1,0
212;912;4,5
242;2001;4,0
212;48780;4,0
306;2701;2,0
14;2355;2,0
564;1726;1,0
534;288;3,0
452;7095;2,5
518;1592;4,0
313;1246;3,5
502;1584;5,0
575;1246;3,0
138;527;4,0
134;1610;4,0
547;1966;1,0
166;524;4,0
248;924;5,0
665;4344;4,0
240;4995;3,5
224;253;4,0
516;132;3,0
80;16;5,0
602;497;5,0
457;44191;3,0
577;1702;3,5
58;1927;5,0
537;205;5,0
196;3681;3,0
63;2640;4,5
595;608;5,0
213;592;3,5
587;903;5,0
120;2118;4,5
654;4638;3,0
440;165;4,0
130;3034;4,0
388;1996;3,0
608;1729;4,0
561;173;1,0
472;2610;3,0
353;4958;2,0
239;2567;4,0
553;4995;4,5
190;3117;3,0
165;588;4,0
617;551;2,0
433;296;5,0
287;924;0,5
334;6016;5,0
159;608;4,0
285;2761;5,0
311;2617;2,5
311;2115;2,0
547;25773;4,0
518;3081;4,0
472;2621;3,0
247;1608;4,0
151;440;3,0
30;2977;2,0
494;296;4,0
213;7445;2,0
217;135;3,5
626;2428;4,0
171;16;5,0
350;1911;2,0
647;247;5,0
57;2028;5,0
353;1262;3,5
285;2046;3,0
508;339;4,0
403;141;3,0
547;25769;4,0
353;26555;1,0
342;1580;4,0
468;3632;3,5
23;508;4,5
176;551;2,5
157;4993;3,5
38;588;4,0
85;437;3,0
509;235;5,0
152;49530;4,5
587;965;4,0
547;2610;4,0
452;2023;4,0
608;2289;4,0
222;899;5,0
150;95;3,0
313;588;4,5
463;3638;3,0
529;2657;2,0
434;508;2,0
605;829;1,0
605;2028;3,0
23;62;4,0
195;913;5,0
452;3088;4,0
353;1580;1,0
400;348;4,0
169;26198;3,5
150;1610;4,5
487;252;3,0
111;1921;2,5
175;5460;4,0
388;8464;4,0
242;11;5,0
119;95;2,0
505;3210;3,5
426;1262;1,5
494;1267;4,0
624;8874;4,0
564;73;2,0
380;97938;4,0
460;1245;4,5
575;1597;4,0
299;5902;4,0
199;8665;4,0
468;858;4,0
373;1246;4,0
240;4011;4,0
580;1441;3,0
380;539;1,5
102;2118;4,0
607;3396;4,0
128;170;5,0
358;954;5,0
73;3104;4,0
232;3062;4,0
550;1683;5,0
132;46578;5,0
420;910;4,0
402;2762;3,0
587;318;4,5
654;2109;4,5
547;74510;3,5
502;296;5,0
230;2291;4,5
536;150;5,0
110;95;5,0
30;1624;4,0
518;288;4,0
463;1246;4,0
149;1259;4,0
586;57353;4,5
238;44191;3,5
404;4226;4,0
324;41569;3,0
490;628;4,0
18;707;3,0
548;315;3,0
666;296;4,0
73;4105;4,0
596;4344;3,5
522;1249;3,5
241;509;3,0
468;947;4,5
461;2291;4,0
549;750;5,0
380;1968;4,0
102;921;4,0
188;539;3,0
311;8929;4,0
472;2310;4,0
345;111;5,0
522;6373;4,0
212;2310;2,0
26;608;3,5
273;2657;5,0
92;95;3,0
270;86332;3,0
536;122;3,0
665;3053;2,0
634;318;5,0
12;2668;2,0
442;1387;4,0
491;838;5,0
220;1089;4,0
575;848;4,0
311;1213;3,0
292;587;4,0
543;631;3,0
388;1922;3,0
615;4995;4,0
303;318;4,5
73;2252;4,0
433;2291;3,5
607;1088;2,0
461;8665;4,0
201;592;4,0
497;496;2,0
78;3077;5,0
654;2640;4,5
608;608;5,0
587;1641;4,5
518;207;3,0
647;319;5,0
70;805;5,0
282;2959;0,5
103;393;1,0
342;308;5,0
294;207;3,0
585;1249;3,0
559;2018;5,0
654;531;5,0
547;32728;3,5
220;1245;4,0
405;2990;4,0
658;150;5,0
353;3527;3,0
370;541;3,5
534;25;3,0
574;1968;4,0
535;165;3,0
105;1367;2,5
299;599;4,5
125;1610;5,0
468;1965;3,0
353;35957;3,0
596;3681;3,5
253;333;4,0
497;3019;2,0
472;1248;5,0
220;991;4,0
324;4993;2,5
216;899;4,0
133;46578;1,5
480;7445;4,0
575;963;3,0
665;912;5,0
213;196;2,5
56;3072;4,0
346;1387;1,0
547;381;3,0
400;539;3,0
301;2139;3,0
547;5876;4,0
594;2759;4,0
224;153;4,0
306;2442;4,0
580;32031;3,0
18;802;4,0
466;898;5,0
4;1073;5,0
529;2028;5,0
623;1089;5,0
212;223;4,0
452;4290;2,0
192;231;4,0
596;172;3,5
195;2617;3,0
303;440;4,0
232;3086;5,0
624;31000;2,5
308;231;3,0
118;924;5,0
439;5780;3,0
602;508;4,0
46;49530;5,0
410;260;4,5
596;595;3,0
212;56715;4,0
461;3536;3,0
354;440;5,0
160;1955;5,0
23;5971;4,5
519;2502;4,5
20;364;3,5
587;4226;3,5
501;46578;4,5
105;4995;2,5
60;2115;3,5
388;3019;4,0
546;79008;5,0
292;2161;3,5
235;261;3,0
19;1103;4,0
165;2003;3,5
88;454;2,5
475;45186;3,5
250;85414;4,0
73;1374;4,0
624;172;2,0
477;83613;4,0
268;364;5,0
213;8860;4,0
51;2761;5,0
543;1485;5,0
279;586;3,0
624;533;3,0
561;4643;2,5
215;1247;4,0
567;750;4,0
53;1610;5,0
371;2001;4,0
48;53519;3,0
428;2115;4,0
294;8985;3,5
39;285;4,0
514;595;3,0
565;994;2,0
482;1994;3,0
212;46948;2,5
457;1992;2,0
431;8665;5,0
15;233;4,0
23;586;3,5
461;1644;1,0
572;858;4,0
491;1392;3,0
361;1405;3,0
243;3033;3,0
53;392;1,0
255;18;2,5
547;176;5,0
358;111;5,0
159;296;4,5
93;923;4,0
203;1049;3,5
466;2018;5,0
483;2028;4,0
70;82;4,0
195;1954;1,0
493;858;4,0
509;6279;4,0
304;4993;2,5
330;1950;4,0
433;2640;3,0
605;1702;2,0
607;30793;3,5
132;3396;4,0
168;21;4,0
529;534;4,0
585;2791;4,0
182;231;1,0
291;1485;2,5
355;7454;2,0
102;1411;5,0
587;922;4,5
247;1405;3,0
23;8368;4,0
82;588;4,0
466;919;5,0
544;1884;4,5
641;587;4,0
130;2105;4,0
136;3114;4,5
547;2057;3,5
89;296;5,0
339;260;3,0
99;588;3,0
510;3034;1,0
161;237;3,0
322;2024;4,0
665;2791;4,0
549;858;5,0
185;924;3,0
380;2105;4,0
582;596;3,5
561;180;4,5
385;315;4,0
73;296;5,0
668;2324;5,0
345;8981;4,0
73;1049;3,5
210;1370;2,5
23;1103;4,5
120;6373;5,0
15;1249;3,0
134;292;4,5
547;911;2,0
26;4995;3,0
255;680;4,0
128;605;4,0
57;2143;3,0
79;4886;3,0
580;2085;3,5
596;541;3,5
265;111;4,0
306;105;2,0
442;1090;4,5
575;2291;4,0
112;802;4,0
574;56152;3,5
268;253;3,0
285;861;3,0
365;364;4,0
564;2290;5,0
500;3114;3,0
539;3072;5,0
213;8965;3,0
355;8665;3,5
83;141;4,0
306;2017;3,0
358;157;1,0
188;277;3,0
624;745;4,0
216;6620;4,0
283;586;2,0
211;805;4,0
150;1909;3,0
283;6538;2,0
373;5060;4,0
56;103688;2,0
641;261;5,0
458;541;3,5
159;318;5,0
396;539;3,0
580;33166;4,0
580;539;1,5
330;1892;4,0
22;8961;3,5
607;333;3,5
509;535;5,0
239;4351;3,0
101;2699;3,0
421;377;4,0
587;951;3,5
299;1690;3,5
658;912;5,0
608;2268;2,0
547;94959;3,5
564;3587;4,0
595;3114;5,0
20;1580;5,0
472;180;2,0
105;2617;3,5
237;3052;3,5
120;539;3,0
420;923;4,0
380;33166;4,5
608;913;5,0
291;1639;3,5
525;2640;3,0
232;707;5,0
4;1377;3,0
452;229;4,0
30;3526;4,0
607;1375;3,5
529;1954;2,0
543;881;4,0
408;1641;5,0
518;1367;5,0
219;235;3,0
119;913;5,0
646;1265;5,0
292;153;3,5
7;21;3,0
652;377;4,0
133;65188;4,0
400;21;4,0
518;1088;4,0
607;8961;4,5
142;1387;4,0
187;1372;0,5
