id;imdb_id;titulo;poster_path;puntuacion_media;votos;contgeneros;id_genero;id_genero;id_genero;id_genero;id_genero;id_genero;id_genero;id_genero
5;tt0113101;Four Rooms;/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg;6,5;539;2;80;35;;;;;;
11;tt0076759;Star Wars;/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg;8,1;6778;3;12;28;878;;;;;
12;tt0266543;Finding Nemo;/syPWyeeqzTQIxjIUaIFI7d0TyEY.jpg;7,6;6292;2;16;10751;;;;;;
13;tt0109830;Forrest Gump;/yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg;8,2;8147;3;35;18;10749;;;;;
14;tt0169547;American Beauty;/or1MP8BZIAjqWYxPdPX724ydKar.jpg;7,9;3438;1;18;;;;;;;
15;tt0033467;Citizen Kane;/oFWvF7OJfT2ydAAatlnsgChV4FP.jpg;8;1244;2;9648;18;;;;;;
16;tt0168629;Dancer in the Dark;/7xizDTz4Yj4IYm2ud4f6EfEXe5H.jpg;7,7;392;3;18;80;10402;;;;;
17;tt0411267;The Dark;/8fzjzQhLXl1afshhsE5Y3MGuco4.jpg;5,6;76;3;27;53;9648;;;;;
18;tt0119116;The Fifth Element;/zaFa1NRZEnFgRTv5OVXkNIZO78O.jpg;7,3;3962;5;12;14;28;53;878;;;
20;tt0314412;My Life Without Me;/vVj92VBFUBzjqzLvBiPVVlJDp78.jpg;7,2;78;2;18;10749;;;;;;
21;tt0060371;The Endless Summer;/jqsZQPxeMjcvVN5aFGgAk7qQodr.jpg;7,8;23;1;99;;;;;;;
22;tt0325980;Pirates of the Caribbean: The Curse of the Black Pearl;/tkt9xR1kNX5R9rCebASKck44si2.jpg;7,5;7191;3;12;14;28;;;;;
24;tt0266697;Kill Bill: Vol. 1;/97fNAi62HawGjWru7PvVmF7RAbU.jpg;7,7;5091;2;28;80;;;;;;
25;tt0418763;Jarhead;/kmbyO0XUHRHcMyxVSZAWDdrpxIu.jpg;6,6;776;2;18;10752;;;;;;
27;tt0411705;9 Songs;/bvGyYmmnQG5NPP7m2nuLhaiC8LH.jpg;5,1;103;3;18;10402;10749;;;;;
28;tt0078788;Apocalypse Now;/jcvJ2xcVWU9Wh0hZAxcs103s8nN.jpg;8;2112;2;18;10752;;;;;;
33;tt0105695;Unforgiven;/km6qw4qUkHQRN5y2U1juM1WkBFh.jpg;7,7;1133;1;37;;;;;;;
35;tt0462538;The Simpsons Movie;/eCytnEriVur3rT47NWfkgPXD9qs.jpg;6,9;2335;3;16;35;10751;;;;;
38;tt0338013;Eternal Sunshine of the Spotless Mind;/7y3eYvTsGjxPYDtSnumCLIMDkrV.jpg;7,9;3758;3;878;18;10749;;;;;
58;tt0383574;Pirates of the Caribbean: Dead Man's Chest;/waFr5RVKaQ9dzOt3nQuIVB1FiPu.jpg;7;5380;3;12;14;28;;;;;
